Batch,Gene,Gene Average AEI,Gene Average Z-Score,Gene Number of sgRNAs,observed_stat,p_value,num_permutations,p_value_corrected
ALPHA,HSBP1,0.9122077024980001,-0.6068958679354423,3,-0.006937209633830599,0.3133768662313377,100000.0,0.5971228915161829
ALPHA,IGHMBP2,0.9253118564439999,0.5395098632440851,3,0.0061669443121693535,0.3801161988380116,100000.0,0.656885254897698
ALPHA,ICMT,0.9179306207876666,-0.10623124255162623,3,-0.0012142913441640646,0.8614713852861471,100000.0,0.9536044469956515
ALPHA,IDH1,0.9096002654043334,-0.8350052781413554,3,-0.00954464672749733,0.15459845401545985,100000.0,0.4051897149593083
ALPHA,ING2,0.902573436205,-1.449741437326538,2,-0.016571475926830725,0.032,100000.0,0.15377582417582417
ALPHA,HSFX3,0.8961875973829999,-2.0084011000638013,3,-0.02295731474883078,0.005239947600523995,100000.0,0.050977287779958684
ALPHA,IKZF1,0.909408745614,-0.8517602236477388,2,-0.009736166517830713,0.2422857142857143,100000.0,0.5215266843394558
ALPHA,ID2,0.9372679637815,1.585479716070142,2,0.01812305164966932,0.04673015873015873,100000.0,0.19602012865897758
ALPHA,HNRNPUL1,0.921144860608,0.17496378664294998,2,0.0019999484761693553,0.8218412698412698,100000.0,0.9361273146856903
ALPHA,HOXB3,0.9139594712613334,-0.4536438717926748,3,-0.0051854408704973265,0.44709552904470956,100000.0,0.7135579374133265
ALPHA,IKZF2,0.8959406446420001,-2.03000554997942,3,-0.02320426748983062,0.0001999980000199998,100000.0,0.006102215245072388
ALPHA,HOXD13,0.9347965872056667,1.3692734442182308,3,0.015651675073836024,0.05011949880501195,100000.0,0.20567040461803537
ALPHA,IKZF4,0.9157471041075,-0.2972543369524081,2,-0.0033978080243306508,0.7045079365079365,100000.0,0.8739895620848812
ALPHA,HSPA1A,0.924337265373,0.4542485946452169,2,0.00519235324116929,0.5373968253968254,100000.0,0.7725300188889932
ALPHA,IFT57,0.9256239619496668,0.5668141472065126,3,0.006479049817836091,0.34945650543494566,100000.0,0.631811845250391
ALPHA,IMPACT,0.9110967243529999,-0.7040888433760301,3,-0.008048187778830651,0.23461765382346175,100000.0,0.5127141310683654
ALPHA,IKZF5,0.897459701979,-1.8971121144853504,2,-0.021685210152830647,0.005079365079365079,100000.0,0.0498587283772469
ALPHA,IL18,0.9024336420779999,-1.4619712072940232,2,-0.016711270053830773,0.03784126984126984,100000.0,0.17210595217459493
ALPHA,HSF2,0.9082580622326667,-0.952426777823579,3,-0.010886849899163997,0.11343886561134389,100000.0,0.3400055924046654
ALPHA,ID3,0.91084887567,-0.725771674013353,2,-0.008296036461830747,0.3238095238095238,100000.0,0.6079901596347849
ALPHA,IFI16,0.9236923072323333,0.39782498180626513,3,0.004547395100502616,0.5152148478515215,100000.0,0.7601328525113311
ALPHA,HOMEZ,0.9019817035885,-1.501508660580853,2,-0.017163208543330644,0.02819047619047619,100000.0,0.1421879496896798
ALPHA,IKZF3,0.9244553182915001,0.46457635353057547,2,0.005310406159669379,0.5351111111111111,100000.0,0.7707644561557605
ALPHA,ICE2,0.9529543654435,2.9577911862349207,2,0.03380945331166929,0.0012698412698412698,100000.0,0.019621964215603794
ALPHA,ING3,0.9281921943364999,0.7914937670735611,2,0.009047282204669216,0.2829206349206349,100000.0,0.5652680247980526
ALPHA,INO80E,0.9171762066003333,-0.17223052427603372,3,-0.0019687055314973056,0.7746922530774693,100000.0,0.9106937041352511
ALPHA,XRN1,0.8714063799493333,-4.176364770868613,3,-0.04773853218249735,0.00015999840001599985,100000.0,0.006102215245072388
ALPHA,YLPM1,0.9335899725165,1.2637137872814832,2,0.014445060384669306,0.0838095238095238,100000.0,0.2805115942719686
ALPHA,ZBTB1,0.906453234224,-1.1103206167890785,3,-0.012691677907830878,0.052459475405245946,100000.0,0.2108504466425924
ALPHA,XRCC2,0.917758301166,-0.12130647767839495,2,-0.0013866109658307035,0.8792380952380953,100000.0,0.9591172658277157
ALPHA,ZBTB18,0.8970550023115,-1.9325169197204122,2,-0.022089909820330655,0.009142857142857144,100000.0,0.0730259621656882
ALPHA,YTHDF3,0.9029086348359999,-1.420416870990899,3,-0.01623627729583077,0.014179858201417987,100000.0,0.09531613452532993
ALPHA,ZBTB16,0.910476583707,-0.7583413188613876,3,-0.008668328424830563,0.2047579524204758,100000.0,0.477550147165195
ALPHA,XRCC6,0.9425035105546667,2.0435070600215473,3,0.023358598422836052,0.0005399946000539995,100000.0,0.011164994733031394
ALPHA,XRCC4,0.9103939037983334,-0.765574500151797,3,-0.00875100833349729,0.2031579684203158,100000.0,0.47530607871241426
ALPHA,ZBED6,0.9317827058526666,1.1056066046487085,3,0.012637793720835955,0.06143938560614394,100000.0,0.23159497479876623
ALPHA,YWHAG,0.9038522822045,-1.3378626858127651,2,-0.015292629927330714,0.06298412698412699,100000.0,0.23470778636692569
ALPHA,YBEY,0.9096751900796667,-0.8284505568245241,3,-0.009469722052164009,0.17005829941700584,100000.0,0.42813180388633654
ALPHA,YBX3,0.9383277574263333,1.678194859169894,3,0.01918284529450265,0.008719912800871992,100000.0,0.07068059069177612
ALPHA,WWTR1,0.9343478926256666,1.3300197815872143,3,0.01520298049383595,0.04689953100468995,100000.0,0.19654206907859045
ALPHA,XPA,0.9094073608483333,-0.8518813686909925,3,-0.009737551283497403,0.14491855081449184,100000.0,0.38989616866819343
ALPHA,ZBTB17,0.9228410954195,0.3233574423755532,2,0.003696183287669297,0.6659047619047619,100000.0,0.8525698161646839
ALPHA,YWHAH,0.9344777424923333,1.3413795864210833,3,0.015332830360502592,0.02965970340296597,100000.0,0.14697097221662345
ALPHA,YTHDF1,0.9065190294146667,-1.1045645806515922,3,-0.012625882717164028,0.057459425405745945,100000.0,0.2221662840842856
ALPHA,WSB2,0.9120725393805,-0.6187204979866969,2,-0.007072372751330658,0.4071111111111111,100000.0,0.681561850410204
ALPHA,XRCC3,0.9214559281815,0.20217726799504632,2,0.0023110160496693233,0.7873015873015873,100000.0,0.9173647325525823
ALPHA,ZBED1,0.9157964719736666,-0.29293543128762534,3,-0.0033484401581640455,0.6292337076629234,100000.0,0.8319392301163913
ALPHA,YTHDC2,0.921401197268,0.19738918070855158,3,0.002256285136169267,0.7417325826741733,100000.0,0.8929378070293627
ALPHA,XBP1,0.895806420063,-2.0417480727904924,2,-0.023338492068830652,0.0017777777777777779,100000.0,0.025068799231492387
