MRPS18B,TAF8
MRPS21,HSP90AB1
MRPS22,MED31
MRPS23,PPA1
MRPS27,NIPA1
MRPS28,RCC1
MRPS34,POLR3K
MRPS35,NR2C2AP
MRPS5,NINL
MRPS7,GTF2H1
MRTO4,TTF2
MSTO1,CENPC
MT1B,EML2
MT1E,TIMM22
MT2A,EIF3H
MTBP,MED17
MTIF2,NDUFB8
MTOR,VPS72
MTREX,NSL1
MVK,NCAPG
MYBBP1A,PSMA3
MYC,NUP93
MYCBPAP,CTDSPL2
MYG1,GTF2B
MYO18A,FANCI
MZT1,DDX54
MZT2A,APOBEC3B
NAA10,ANAPC5
NAA15,DARS1
NAA20,FARSA
NAA25,RNF19B
NAA30,THOC7
NAA35,CEBPA
NAA38,COQ3
NAA50,KANSL2
NACA,ETF1
NACA2,RPA2
NAE1,MTREX
NAF1,RAD17
NAIP,RFC1
NAPA,THG1L
NAPG,DHX38
NARS1,MRPL18
NASP,MRPL43
NAT10,RPLP0
NBAS,HNRNPL
NCAPD2,CENPN
NCAPD3,UTP23
NCAPG,ZWILCH
NCAPG2,TRIP13
NCAPH,HAUS6
NCAPH2,CCT5
NCBP1,PTDSS1
NCBP2,AFTPH
NCL,PALB2
NCOA4,MMS19
NDC1,EIF2B4
NDC80,PITRM1
NDOR1,BTAF1
NDUFA11,BUD23
NDUFA13,CEBPZ
NDUFA2,SRSF4
NDUFA4,RBM18
NDUFA6,MAP2K2
NDUFAB1,INTS3
NDUFAF1,RFC3
NDUFAF3,LARS1
NDUFAF8,CCDC9
NDUFB1,BUB1
NDUFB10,EIF4G1
NDUFB3,ATPSCKMT
NDUFB4,PWP2
NDUFB7,OXA1L
NDUFB9,EXOC7
NDUFC2,SEC61A1
NDUFS2,PDAP1
NDUFS5,ZSWIM7
NDUFS8,POLR2D
NEDD1,ATP6V1F
NEDD8,SKA1
NELFA,DNAJA3
NELFB,IPO4
NELFCD,CCNA2
NELFE,PMPCA
NEPRO,RPUSD1
NFATC2IP,MRPL57
NFE2L3,ALG1
NFS1,EMC1
NFYB,NAPG
NFYC,SLC39A6
NGDN,GPALPP1
NHP2,TRMT2B
NIFK,MRPL42
NIP7,RPAP1
NIPBL,BLM
NISCH,WDR61
NKAP,TMEM258
NLE1,DENR
NMD3,NOB1
NME2,SNU13
NMT1,MRPL50
NOB1,MTCH2
NOC2L,NIT1
NOC3L,INTS10
NOC4L,RBIS
NOL10,SRSF3
NOL11,SUPT6H
NOL12,TXNL4B
NOL6,SUGP1
NOL7,NDOR1
NOL8,CPSF6
NOL9,ZMAT2
NOLC1,ANKRD49
NOM1,CENPA
NOP10,RSL24D1
NOP14,DIS3
NOP16,RUVBL1
NOP2,POP4
NOP53,PSMA5
NOP56,MCM2
NOP58,NUP37
NOP9,MARS1
NOPCHAP1,DPM1
NPAT,XPOT
NPEPPS,MCM5
NPLOC4,CACTIN
NPM1,MTG1
NRBP1,POLR1A
NRDC,ILK
NRDE2,GLRX3
NRF1,POLR3F
NSA2,RBM25
NSF,TCOF1
NSL1,DHX15
NSMCE1,MRPL19
NSMCE2,RBSN
NSMCE3,RPLP2
NSMCE4A,DYNC1H1
NSRP1,CUL2
NUBP1,KIF20B
NUBP2,DDX46
NUDC,ZSCAN29
NUDCD3,ATP6AP1
NUDT18,GNL3L
NUDT21,F8A1
NUF2,VPS16
NUFIP1,PDRG1
NUMA1,ATP5F1D
NUP107,MTIF2
NUP133,TMA16
NUP153,SIVA1
NUP155,LSM4
NUP160,UBA2
NUP205,EIF3B
NUP214,HAUS8
NUP35,SNRPA1
NUP43,SRP72
NUP50,BRF1
NUP54,SBDS
NUP58,FANCG
NUP62,SLC7A6OS
NUP85,ATP6V1B2
NUP88,CPSF1
NUP93,POLD1
NUP98,MOCS3
NUS1,TRNAU1AP
NUTF2,ACTR8
NUTM2A,CCT3
NVL,ZNF407
NXF1,HPS5
ODAD4,WDR1
OGDH,RPP38
OGT,HSPA8
OIP5,BUB3
OPA1,RABGGTA
OR10C1,EBNA1BP2
OR1D2,ZPR1
OR1E2,NDUFAF5
OR4A47,EXOC8
OR4C46,DOLK
OR4D9,TUBG1
OR4K1,CEP135
OR56A4,RAN
OR6C6,NME6
OR6J1,PFDN4
OR7A10,KCNK15
OR7A17,SEC22B
OR7G2,RBM10
ORC1,SPC25
ORC2,RPL3
ORC3,SRP68
ORC4,CKAP5
ORC5,OPA1
ORC6,ZEB2
OS9,LENG8
OSBP,CDC34
OSGEP,SLC35B1
OSTC,TSR1
OTOGL,HELZ
OXA1L,NAA15
PA2G4,CLTC
PABPC1,GTF2H4
PABPN1,PLRG1
PADI6,DNAJA2
PAF1,KIF18A
PAFAH1B1,CDC6
PAICS,PTPN23
PAK1IP1,RRS1
PAM16,TFPT
PARG,DDX51
PARS2,BTF3
PAXBP1,MRPL37
PC,PDCD5
PCBP1,RAC1
PCBP2,RABL3
PCF11,RPS24
PCID2,RPS27A
PCNA,HEATR1
PCNX3,NCAPH2
PCYT1A,TIMM23
PDAP1,CCDC86
PDCD11,MCEE
PDCD2,TBCC
PDCD5,NOC4L
PDCD7,RRP12
PDCL3,MSTO1
PDE4DIP,CTDP1
PDPK1,BIRC5
PDRG1,WDHD1
PEF1,PPP1CB
PELO,C5orf22
PELP1,RAMAC
PES1,SCAMP4
PFDN1,NOL10
PFDN2,FGFR1OP2
PFDN5,RPL13A
PFDN6,COPZ1
PFN1,UBE2A
PGAM1,NUDT5
PGD,NOL7
PGGT1B,LSS
PGS1,IMMT
PHAX,CHMP6
PHB1,MSMO1
PHB2,RAB7A
PHF5A,ARL2
PI4KA,PORCN
PIK3CA,SNRPF
PIK3R4,ATP5F1C
PIP5K1A,TAF1D
PISD,ITGB1
PKD1L3,GTF2H2
PKM,RPL28
PKMYT1,ZGRF1
PLEKHM1,MRPS12
PLET1,TNPO3
PLK1,POLR2E
PLK4,LETM1
PLRG1,NOP56
PMF1,NUBP2
PMPCA,KDM4D
PMPCB,UTP11
PNISR,HGS
PNN,NOP16
PNO1,NMT1
PNPT1,ATP6V1C1
POLA1,MCM7
POLA2,CDC37
POLD1,CNNM3
POLD2,RPA1
POLD3,HNRNPM
POLDIP2,FAM32A
POLE,VHL
POLE2,AASDHPPT
POLR1A,FIP1L1
POLR1B,MDM2
POLR1C,PEX1
POLR1D,MRPL27
POLR1E,NDUFA2
POLR1F,PSMD2
POLR1G,PPP1R12A
POLR1H,BRD9
POLR2B,RPL37A
POLR2C,GTF2F2
POLR2D,METAP2
POLR2E,CBLL1
POLR2F,SS18L1
POLR2G,UNC45A
POLR2H,KIN
POLR2I,MRPL46
POLR2K,CCDC137
POLR2L,MRPL11
POLR2M,NSA2
POLR3A,QARS1
POLR3B,PTPA
POLR3C,INTS5
POLR3D,MVD
POLR3E,LAMTOR5
POLR3F,LSM7
POLR3H,SDF2
POLR3K,RPS5
POLRMT,PRPF38B
POM121C,ZCCHC9
POMP,INO80B
POP1,PTPMT1
POP4,RFC4
POP5,CIAPIN1
POP7,RAD51C
POTEG,PLEKHJ1
POTEI,CENPI
POU2F1,NUP85
PPA1,XPO5
PPAN,RPF1
PPAT,BET1
PPIA,RFC2
PPIE,DCAF13
PPIL1,LSM5
PPIL2,CARF
